filename,plot_data_file,setting,quantity,comparison,method_scope,source_run_ids
manuscript/simulation/phase_panel_independent_spectrum.pdf,output/data/summary/phase_panel_independent_spectrum.csv,n=300; two distant spikes and one close spike,sample spectral density,bulk edge and three sample spikes,FPCA,experiment_1a_panel_phase=experiment_1a_panel_phase_n300_p20_T30_replications500_M3_K05_target-Delta30p1_distributionGaussian_cfg00345bc4
manuscript/simulation/phase_panel_correlated_spectrum.pdf,output/data/summary/phase_panel_correlated_spectrum.csv,n=300; two distant spikes and one close spike,sample spectral density,bulk edge and three sample spikes,FPCA,experiment_1a_panel_phase=experiment_1a_panel_phase_n300_p20_T30_replications500_M3_K05_target-Delta30p1_distributionGaussian_cfg00345bc4
manuscript/simulation/phase_spike_bias.pdf,output/data/summary/phase_spike_bias.csv,n=p=300; M=K0=1; main phase margins 0.4--0.9,relative population-spike bias,FPCA and Proposed,Both,experiment_1b_phase_margin=experiment_1b_phase_margin_n300_p300_replications2000_M1_K01_Delta-grid-main0p4-0p5-0p6-0p7-0p8-0p9_Delta-grid-boundary0p1-0p2-0p3_distributionGaussian_cfg0029b7b9
manuscript/simulation/phase_spike_variance.pdf,output/data/summary/phase_spike_variance.csv,n=p=300; M=K0=1; main phase margins 0.4--0.9,scaled population-spike variance,empirical and theoretical,Proposed,experiment_1b_phase_margin=experiment_1b_phase_margin_n300_p300_replications2000_M1_K01_Delta-grid-main0p4-0p5-0p6-0p7-0p8-0p9_Delta-grid-boundary0p1-0p2-0p3_distributionGaussian_cfg0029b7b9
manuscript/simulation/functional_inference_coverage.pdf,output/data/summary/functional_inference_coverage.csv,n=300; spike 2; covariance and score robustness grid,Wald coverage,"alpha, Delta, and r2",Proposed,experiment_2_functional_inference=experiment_2_functional_inference_n300_p100_N200_decay1p1_M3_K05_core-replications2000_other-replications1000_design-grid3Sx3D_cfg006c5f68
manuscript/simulation/qq_alpha.pdf,output/data/summary/qq_alpha.csv,Haar covariance; standardized Uniform scores; n=300; spike 2,studentized error of alpha,standard normal reference,Proposed,experiment_2b_functional_asymptotics=experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244
manuscript/simulation/qq_delta.pdf,output/data/summary/qq_delta.csv,Haar covariance; standardized Uniform scores; n=300; spike 2,studentized error of delta,standard normal reference,Proposed,experiment_2b_functional_asymptotics=experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244
manuscript/simulation/qq_r2.pdf,output/data/summary/qq_r2.csv,Haar covariance; standardized Uniform scores; n=300; spike 2,studentized error of r2,standard normal reference,Proposed,experiment_2b_functional_asymptotics=experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244
manuscript/simulation/joint_standardized_errors.pdf,output/data/summary/joint_standardized_errors.csv,Haar covariance; standardized Uniform scores; n=300; spike 2,joint studentized errors,Delta and r2 against alpha,Proposed,experiment_2b_functional_asymptotics=experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x2000-600x2000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg00423244
manuscript/simulation/large_domain_eigenvalue_comparison.pdf,output/data/summary/large_domain_eigenvalue_comparison.csv,"large-domain simple-spike experiment; n=150,300,600",Monte Carlo mean population-spike estimate,FPCA and Proposed,Both,experiment_3a_simple_direction=experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457
manuscript/simulation/large_domain_direction_comparison.pdf,output/data/summary/large_domain_direction_comparison.csv,large-domain simple-direction experiment; truth=0.6,Monte Carlo mean direction functional,FPCA and Proposed,Both,experiment_3a_simple_direction=experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457
manuscript/simulation/large_domain_eigenspace_comparison.pdf,output/data/summary/large_domain_eigenspace_comparison.csv,large-domain repeated-eigenspace experiment; truth=0.45,Monte Carlo mean projector functional,FPCA and Proposed,Both,experiment_3b_repeated_eigenspace=experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x2000-600x2000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f1457
